Dataset,ID,Python,Reference Java,Pre-trained Pred,Fine-tuned Pred,Pre-trained BLEU,Fine-tuned BLEU,Pre-trained Logic,Fine-tuned Logic
BigCodeNet,8,"print(*[str(a)+'x'+str(b)+'='+str(a*b) for a in range(1,10) for b in range(1,10)], sep='\n')
","class Main{
public static void main(String a[]){
for(int i=1;i<10;i++){
	for(int j=1;j<10;j++){
	System.out.println(i+""x""+j+""=""+i*j);
}
}
}
}",print(str(a)),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a*b);
	}
}
",0.0,0.2415,0.0,0.5
BigCodeNet,9,"print(*[str(a)+'x'+str(b)+'='+str(a*b) for a in range(1,10) for b in range(1,10)], sep='\n')
","class Main{
	/*
	 * ???????????¨???
	 */
    public static void main(String[] a){
    	for(int i=1; i<10; i++){
    		for(int j=1; j<10; j++){
    			System.out.println(i + ""x"" + j + ""="" + i * j);
    		}
    	}
    }
}",print(str(a)),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a*b);
	}
}
",0.0,0.1789,0.0,0.5
BigCodeNet,10,"import sys
e = sys.stdin.readlines()
e = [int(i) for i in e]
for i in range(3):
    m = max(e)
    e.remove(m)
    print (m)
","import java.util.*;

public class Main{

public static void main(String[] args){
Scanner sc = new Scanner(System.in);
int[] mountains = new int[10];

for(int i=0; i<10; i++){
mountains[i] = sc.nextInt();
}

Arrays.sort(mountains);
System.out.println(mountains[9]);
System.out.println(mountains[8]);
System.out.println(mountains[7]);
}


}",print(e),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int m = sc.nextInt();
		for (int i = 0; i < n; i++) {
			m = sc.nextInt();
			}
		for (int j = 0; j < 3; j++) {
				m += sc.nextInt();
			}
		}",0.0,0.4727,0.0,1.0
BigCodeNet,11,"import sys
e = sys.stdin.readlines()
e = [int(i) for i in e]
for i in range(3):
    m = max(e)
    e.remove(m)
    print (m)
","import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.Arrays;

class Main
{
	public static void main(String[] args) throws NumberFormatException, IOException{
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		int hight[];
		hight = new int[10];
		for(int i = 0; i < 10; i++){
			hight[i] = Integer.parseInt(br.readLine());
		}
		Arrays.sort(hight);
		for(int i = 0; i < 3; i++){
			System.out.println(hight[9 - i]);
		}
	}
}",print(e),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int m = sc.nextInt();
		for (int i = 0; i < n; i++) {
			m = sc.nextInt();
			}
		for (int j = 0; j < 3; j++) {
				m += sc.nextInt();
			}
		}",0.0,0.2945,0.0,1.0
BigCodeNet,12,"import sys
e = sys.stdin.readlines()
e = [int(i) for i in e]
for i in range(3):
    m = max(e)
    e.remove(m)
    print (m)
","import java.util.Scanner;
import java.util.Arrays;

public class Main{
	public static void main(String[] args){
		Scanner scan = new Scanner(System.in);
		int[] heights = new int[10];
		for(int i = 0; i < 10; i++){
			heights[i] = scan.nextInt();
		}

		Arrays.sort(heights);
		for(int i = 9; i >= 7; i--){
			System.out.println(heights[i]);
		}
	}
}",print(e),"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int m = sc.nextInt();
		for (int i = 0; i < n; i++) {
			m = sc.nextInt();
			}
		for (int j = 0; j < 3; j++) {
				m += sc.nextInt();
			}
		}",0.0,0.4604,0.0,1.0
BigCodeNet,13,"
arr = list([])

for i in range(10):
    arr.append(int(input()))

arr.sort(reverse=True)

for i in range(3):
    print arr[i]
","import java.util.*;

public class Main{

public static void main(String[] args){
Scanner sc = new Scanner(System.in);
int[] mountains = new int[10];

for(int i=0; i<10; i++){
mountains[i] = sc.nextInt();
}

Arrays.sort(mountains);
System.out.println(mountains[9]);
System.out.println(mountains[8]);
System.out.println(mountains[7]);
}


}",print,"import java.util.*;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[10];
		for (int i = 0; i < 10; i++) {
			a[i] = sc.nextInt();
		}
		for (int i = 0; i < 10; i++) {
			a[i] = sc.nextInt();
	",0.0,0.5959,0.0,1.0
BigCodeNet,14,"
arr = list([])

for i in range(10):
    arr.append(int(input()))

arr.sort(reverse=True)

for i in range(3):
    print arr[i]
","import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.Arrays;

class Main
{
	public static void main(String[] args) throws NumberFormatException, IOException{
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		int hight[];
		hight = new int[10];
		for(int i = 0; i < 10; i++){
			hight[i] = Integer.parseInt(br.readLine());
		}
		Arrays.sort(hight);
		for(int i = 0; i < 3; i++){
			System.out.println(hight[9 - i]);
		}
	}
}",print,"import java.util.*;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[10];
		for (int i = 0; i < 10; i++) {
			a[i] = sc.nextInt();
		}
		for (int i = 0; i < 10; i++) {
			a[i] = sc.nextInt();
	",0.0,0.4011,0.0,1.0
BigCodeNet,15,"
arr = list([])

for i in range(10):
    arr.append(int(input()))

arr.sort(reverse=True)

for i in range(3):
    print arr[i]
","import java.util.Scanner;
import java.util.Arrays;

public class Main{
	public static void main(String[] args){
		Scanner scan = new Scanner(System.in);
		int[] heights = new int[10];
		for(int i = 0; i < 10; i++){
			heights[i] = scan.nextInt();
		}

		Arrays.sort(heights);
		for(int i = 9; i >= 7; i--){
			System.out.println(heights[i]);
		}
	}
}",print,"import java.util.*;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[10];
		for (int i = 0; i < 10; i++) {
			a[i] = sc.nextInt();
		}
		for (int i = 0; i < 10; i++) {
			a[i] = sc.nextInt();
	",0.0,0.5688,0.0,1.0
BigCodeNet,16,"# coding: utf-8
N = 10
h = []
for n in range(N):
    h.append(int(input()))

h = sorted(h, reverse = True)

for i in range(3):
    print(h[i])","import java.util.*;

public class Main{

public static void main(String[] args){
Scanner sc = new Scanner(System.in);
int[] mountains = new int[10];

for(int i=0; i<10; i++){
mountains[i] = sc.nextInt();
}

Arrays.sort(mountains);
System.out.println(mountains[9]);
System.out.println(mountains[8]);
System.out.println(mountains[7]);
}


}",),"import java.util.*;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] h = new int[n];
		for (int i = 0; i < n; i++) {
			h[i] = sc.nextInt();
		}
		for (int i = 0; i < n; i++) {
			h[i] = sc.nextInt();
	",0.0,0.5497,0.0,0.67
BigCodeNet,17,"# coding: utf-8
N = 10
h = []
for n in range(N):
    h.append(int(input()))

h = sorted(h, reverse = True)

for i in range(3):
    print(h[i])","import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.Arrays;

class Main
{
	public static void main(String[] args) throws NumberFormatException, IOException{
		BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
		int hight[];
		hight = new int[10];
		for(int i = 0; i < 10; i++){
			hight[i] = Integer.parseInt(br.readLine());
		}
		Arrays.sort(hight);
		for(int i = 0; i < 3; i++){
			System.out.println(hight[9 - i]);
		}
	}
}",),"import java.util.*;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] h = new int[n];
		for (int i = 0; i < n; i++) {
			h[i] = sc.nextInt();
		}
		for (int i = 0; i < n; i++) {
			h[i] = sc.nextInt();
	",0.0,0.3626,0.0,0.67
BigCodeNet,18,"# coding: utf-8
N = 10
h = []
for n in range(N):
    h.append(int(input()))

h = sorted(h, reverse = True)

for i in range(3):
    print(h[i])","import java.util.Scanner;
import java.util.Arrays;

public class Main{
	public static void main(String[] args){
		Scanner scan = new Scanner(System.in);
		int[] heights = new int[10];
		for(int i = 0; i < 10; i++){
			heights[i] = scan.nextInt();
		}

		Arrays.sort(heights);
		for(int i = 9; i >= 7; i--){
			System.out.println(heights[i]);
		}
	}
}",),"import java.util.*;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] h = new int[n];
		for (int i = 0; i < n; i++) {
			h[i] = sc.nextInt();
		}
		for (int i = 0; i < n; i++) {
			h[i] = sc.nextInt();
	",0.0,0.5202,0.0,0.67
BigCodeNet,19,"import sys
for line in sys.stdin:
    a, b = map(int, line.split())
    print len(str(a+b))","import java.io.PrintWriter;
import java.util.*;

public class Main {

    private static Scanner in = new Scanner(System.in);
    private static PrintWriter out = new PrintWriter(System.out);

    public static void main(String[] args) {
        solve();
        out.flush();
    }

    private static void solve() {
        while (in.hasNextInt()) {
            int a = in.nextInt();
            int b = in.nextInt();

            out.println(Integer.toString(a+b).length());
        }
    }

}

",print,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a + b);
	}
}",0.0,0.2851,0.0,0.5
BigCodeNet,20,"import sys
for line in sys.stdin:
    a, b = map(int, line.split())
    print len(str(a+b))","import static java.lang.Integer.parseInt;
import java.io.*;

class Main{
    public static void main(String[] a) throws IOException{

        BufferedReader input = new BufferedReader(new InputStreamReader(System.in));
        String s;

        while((s = input.readLine())!=null){
            String[] num = s.split("" "",0);
            int x = parseInt(num[0]);
            int y = parseInt(num[1]);
            if(0 <= x && x <=1000000 && 0 <= y && y <= 1000000){
                int z = x + y;
                System.out.println(Integer.toString(z).length());
            }
        }
    }
}",print,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a + b);
	}
}",0.0,0.0993,0.0,0.5
BigCodeNet,21,"import sys
for line in sys.stdin:
    a, b = map(int, line.split())
    print len(str(a+b))","
import java.util.Scanner;

public class Main {
	public static void main(String[] args){
		Scanner stdIn = new Scanner(System.in);
		
		while(stdIn.hasNext()){
			int a = stdIn.nextInt();
			int b = stdIn.nextInt();
			int c = a + b;
			int count = 1;
		
			while(c/10!=0){
				count++;
				c = c/10;
			}
		
			System.out.println(count);
		}
	}
}",print,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int a = sc.nextInt();
		int b = sc.nextInt();
		System.out.println(a + b);
	}
}",0.0,0.4103,0.0,0.5
BigCodeNet,22,"# -*- coding:utf-8 -*-
import sys
import math

array =[]
for line in sys.stdin:
    array.append(line)
    
for i in range(len(array)):
    num = array[i].split(' ')
    a = int(num[0])
    b = int(num[1])
    n = a + b
    print(int(math.log10(n) + 1))","import java.io.PrintWriter;
import java.util.*;

public class Main {

    private static Scanner in = new Scanner(System.in);
    private static PrintWriter out = new PrintWriter(System.out);

    public static void main(String[] args) {
        solve();
        out.flush();
    }

    private static void solve() {
        while (in.hasNextInt()) {
            int a = in.nextInt();
            int b = in.nextInt();

            out.println(Integer.toString(a+b).length());
        }
    }

}

",print(int(math.log10(n))))print(int(math.log10(n))print(int(math.log10(n))))print(int(math.log10(n))print(int(math.log10(n))))print(int(math.log10(n))print(int(math.log10(n))))print(int(math.log10(,"import java.util.Scanner;

public class Main {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int n = sc.nextInt();
		int[] a = new int[n];
		for (int i = 0; i < n; i++) {
			a[i] = sc.nextInt();
			b[i] = sc.nextInt();
		}
		for (int i = 0; i < n; i++) {
		",0.0,0.3155,0.0,0.67
